spell(accomodation) => accomodation; should be accommodation
spell(expence) => expence; should be expense
spell(describd) => describe; should be described
spell(intrest) => intrest; should be interest
spell(reffered) => reffered; should be refered
spell(controled) => controled; should be controlled
spell(desention) => detention; should be dissension
spell(unessasarily) => unessasarily; should be unnecessarily
spell(thees) => thees; should be these
spell(wil) => wil; should be will
spell(shortend) => shorten; should be shortened
spell(manualy) => manual; should be manually
spell(dissapoiting) => dissapoiting; should be disappointing
spell(coments) => moments; should be comments
spell(containg) => containg; should be containing
spell(develope) => develope; should be develop
spell(goverment) => goverment; should be government
spell(aquantences) => aquantences; should be acquaintances
spell(advice) => advice; should be advise
spell(dificult) => dificult; should be difficult
spell(bonas) => bones; should be bonus
spell(concieved) => concieved; should be conceived
spell(nationaly) => national; should be nationally
spell(thorts) => shorts; should be thoughts
spell(equaled) => equaled; should be equalled
spell(quaties) => duties; should be qualities
spell(oranisation) => organisation; should be organization
spell(oragnisation) => organisation; should be organization
spell(hte) => hte; should be the
spell(thi) => thi; should be the
spell(financialy) => financial; should be financially
spell(functionaly) => functional; should be functionally
spell(mathematicaly) => mathematical; should be mathematically
spell(sorce) => force; should be source
spell(inut) => nut; should be input
spell(currers) => curlers; should be careers
spell(resoved) => removed; should be resolved
spell(imidatly) => imidatly; should be immediately
spell(imediatly) => immediatly; should be immediately
spell(unessessay) => unessessay; should be unnecessary
spell(nite) => nite; should be night
spell(descisions) => decisions; should be decision
spell(pere) => pere; should be per
spell(athough) => athough; should be although
spell(monthes) => monthes; should be months
spell(hierachial) => hierarchical; should be hierarchal
spell(comit) => comit; should be commit
spell(aurgument) => argument; should be auguments
spell(withing) => withing; should be within
spell(optaning) => opening; should be obtaining
spell(thear) => their; should be there
spell(sumarys) => summary; should be summarys
spell(analiss) => analysis; should be analyse
spell(safegaurd) => safegaurd; should be safeguard
spell(muiuets) => muskets; should be minutes
spell(servaying) => serving; should be surveying
spell(anoying) => anoying; should be annoying
spell(accesing) => accusing; should be assessing
spell(idealy) => ideal; should be ideally
spell(scrutiniesed) => scrutinised; should be scrutinized
spell(similar) => similar; should be simular
spell(personel) => personel; should be personnel
spell(goegraphicaly) => geographical; should be geographically
spell(studens) => student; should be students
spell(prepaired) => prepaired; should be prepared
spell(nessisitates) => nessisitates; should be necessitates
bad: 165/485
bad: 165/485, correct: 65%, secs: 0:00:23.721812
